asin,date_at,buybox_price
B001B0V5GG,2018-05-07 11:04:00,0.0000
B001B0V5GG,2018-05-09 20:00:00,11.1900
B001B0V5GG,2018-05-10 05:24:00,0.0000
B001B0V5GG,2018-05-18 03:20:00,11.1900
B001B0V5GG,2018-05-18 13:18:00,0.0000
B001B0V5GG,2018-05-20 10:40:00,11.9100
B001B0V5GG,2018-05-21 12:54:00,0.0000
B001B0V5GG,2018-05-23 22:14:00,11.1900
B001B0V5GG,2018-05-25 19:10:00,11.9700
B001B0V5GG,2018-05-29 04:08:00,11.6300
B001B0V5GG,2018-05-29 22:04:00,11.5700
B001B0V5GG,2018-05-30 20:06:00,0.0000
B001B0V5GG,2018-05-30 21:28:00,11.7000
B001B0V5GG,2018-05-31 00:30:00,0.0000
B001B0V5GG,2018-05-31 22:32:00,11.6600
B001B0V5GG,2018-06-01 12:40:00,0.0000
B001B0V5GG,2018-06-01 16:36:00,11.7200
B001B0V5GG,2018-06-01 18:00:00,0.0000
B001B0V5GG,2018-06-02 01:20:00,11.5800
B001B0V5GG,2018-06-02 13:02:00,0.0000
B001B0V5GG,2018-06-04 02:42:00,11.2800
B001B0V5GG,2018-06-04 17:10:00,0.0000
B001B0V5GG,2018-06-05 22:12:00,11.1900
B001B0V5GG,2018-06-06 20:24:00,0.0000
B001B0V5GG,2018-06-07 18:46:00,11.1900
B001B0V5GG,2018-06-08 04:16:00,0.0000
B001B0V5GG,2018-06-11 11:40:00,12.2500
B001B0V5GG,2018-06-11 16:06:00,0.0000
B001B0V5GG,2018-06-12 11:36:00,11.1900
B001B0V5GG,2018-06-13 02:04:00,0.0000
B001B0V5GG,2018-06-21 09:22:00,12.2800
B001B0V5GG,2018-06-21 18:50:00,11.8400
B001B0V5GG,2018-06-22 17:56:00,12.1500
B001B0V5GG,2018-06-22 22:16:00,11.8400
B001B0V5GG,2018-06-23 22:24:00,11.7500
B001B0V5GG,2018-06-24 20:16:00,11.7100
B001B0V5GG,2018-06-26 03:24:00,11.5400
B001B0V5GG,2018-06-28 09:22:00,0.0000
B001B0V5GG,2018-06-28 13:12:00,12.1800
B001B0V5GG,2018-06-28 16:40:00,12.0600
B001B0V5GG,2018-06-29 00:00:00,11.0500
B001B0V5GG,2018-06-29 17:22:00,11.1900
B001B0V5GG,2018-06-30 12:22:00,11.6700
B001B0V5GG,2018-06-30 21:22:00,0.0000
B001B0V5GG,2018-06-30 22:24:00,11.6700
B001B0V5GG,2018-07-01 20:36:00,11.6500
B001B0V5GG,2018-07-02 08:26:00,12.3000
B001B0V5GG,2018-07-02 09:52:00,12.2800
B001B0V5GG,2018-07-02 11:16:00,12.2600
B001B0V5GG,2018-07-02 15:16:00,12.2400
B001B0V5GG,2018-07-02 16:28:00,12.1800
B001B0V5GG,2018-07-03 00:30:00,12.0600
B001B0V5GG,2018-07-03 02:14:00,12.0400
B001B0V5GG,2018-07-03 03:46:00,12.0200
B001B0V5GG,2018-07-04 01:44:00,11.7800
B001B0V5GG,2018-07-04 14:50:00,11.7600
B001B0V5GG,2018-07-05 21:28:00,11.5800
B001B0V5GG,2018-07-06 18:56:00,12.2700
B001B0V5GG,2018-07-07 14:20:00,12.2500
B001B0V5GG,2018-07-07 22:44:00,12.1700
B001B0V5GG,2018-07-08 07:20:00,12.0900
B001B0V5GG,2018-07-08 19:08:00,11.1900
B001B0V5GG,2018-07-11 12:24:00,0.0000
B001B0V5GG,2018-07-13 13:38:00,11.1600
B001B0V5GG,2018-07-14 21:56:00,11.1200
B001B0V5GG,2018-07-16 13:16:00,0.0000
B001B0V5GG,2018-07-17 04:40:00,11.0700
B001B0V5GG,2018-07-17 12:40:00,0.0000
B001B0V5GG,2018-07-18 20:52:00,10.9900
B001B0V5GG,2018-07-25 23:06:00,11.1800
B001B0V5GG,2018-07-27 22:44:00,11.1600
B001B0V5GG,2018-07-30 15:48:00,11.1800
B001B0V5GG,2018-07-30 21:32:00,11.1600
B001B0V5GG,2018-07-30 23:32:00,0.0000
B001B0V5GG,2018-07-31 13:18:00,11.1600
B001B0V5GG,2018-08-01 10:56:00,0.0000
B001B0V5GG,2018-08-01 12:18:00,11.1600
B001B0V5GG,2018-08-02 06:56:00,11.1800
B001B0V5GG,2018-08-02 10:24:00,11.1600
B001B0V5GG,2018-08-03 16:52:00,11.1800
B001B0V5GG,2018-08-06 02:16:00,11.1600
B001B0V5GG,2018-08-06 23:00:00,11.0800
B001B0V5GG,2018-08-07 01:28:00,11.1200
B001B0V5GG,2018-08-07 10:52:00,11.1000
B001B0V5GG,2018-08-08 05:40:00,11.1600
B001B0V5GG,2018-08-08 16:16:00,11.0800
B001B0V5GG,2018-08-10 14:12:00,10.9900
B001B0V5GG,2018-08-16 11:30:00,0.0000
B001B0V5GG,2018-08-16 16:04:00,10.9900
B001B0V5GG,2018-08-23 16:30:00,10.7900
B001B0V5GG,2018-08-25 16:36:00,10.9000
B001B0V5GG,2018-08-31 05:18:00,0.0000
B001B0V5GG,2018-08-31 11:48:00,11.0800
B001B0V5GG,2018-09-04 13:36:00,11.0700
B001B0V5GG,2018-09-05 03:02:00,10.9900
B001B0V5GG,2018-09-10 09:52:00,11.0500
B001B0V5GG,2018-09-11 02:46:00,11.1900
B001B0V5GG,2018-09-11 13:18:00,11.4500
B001B0V5GG,2018-09-11 15:20:00,11.1300
B001B0V5GG,2018-09-12 13:44:00,11.4600
B001B0V5GG,2018-09-15 11:32:00,11.5600
B001B0V5GG,2018-09-15 16:04:00,11.5000
B001B0V5GG,2018-09-16 06:40:00,11.4900
B001B0V5GG,2018-09-16 17:32:00,11.4700
B001B0V5GG,2018-09-16 23:20:00,11.4500
B001B0V5GG,2018-09-17 04:16:00,11.4700
B001B0V5GG,2018-09-17 21:48:00,11.4500
B001B0V5GG,2018-09-19 11:02:00,0.0000
B001B0V5GG,2018-09-22 18:16:00,12.3800
B001B0V5GG,2018-09-25 16:34:00,11.3900
B001B0V5GG,2018-09-26 03:00:00,11.4300
B001B0V5GG,2018-09-26 12:48:00,11.1900
B001B0V5GG,2018-09-27 04:00:00,11.4300
B001B0V5GG,2018-09-27 21:02:00,11.0000
B001B0V5GG,2018-09-28 02:22:00,11.1900
B001B0V5GG,2018-09-28 06:12:00,10.9900
B001B0V5GG,2018-09-28 12:30:00,11.1900
B001B0V5GG,2018-09-29 14:48:00,11.4100
B001B0V5GG,2018-09-30 00:40:00,11.3800
B001B0V5GG,2018-09-30 05:08:00,11.4100
B001B0V5GG,2018-09-30 11:58:00,11.4400
B001B0V5GG,2018-10-01 07:04:00,11.4600
B001B0V5GG,2018-10-01 08:16:00,11.4400
B001B0V5GG,2018-10-01 10:28:00,11.3900
B001B0V5GG,2018-10-01 18:44:00,11.3300
B001B0V5GG,2018-10-02 01:48:00,11.2400
B001B0V5GG,2018-10-02 05:36:00,11.2100
B001B0V5GG,2018-10-02 07:06:00,11.4700
B001B0V5GG,2018-10-02 11:42:00,11.1700
B001B0V5GG,2018-10-03 14:58:00,10.9900
B001B0V5GG,2018-10-05 00:56:00,11.6900
B001B0V5GG,2018-10-05 08:18:00,11.6400
B001B0V5GG,2018-10-05 13:26:00,12.8200
B001B0V5GG,2018-10-06 09:52:00,12.3100
B001B0V5GG,2018-10-07 05:44:00,11.6400
B001B0V5GG,2018-10-07 14:38:00,12.8200
B001B0V5GG,2018-10-07 17:24:00,13.6900
B001B0V5GG,2018-10-08 17:40:00,12.8000
B001B0V5GG,2018-10-08 18:56:00,12.9100
B001B0V5GG,2018-10-09 18:42:00,12.8200
B001B0V5GG,2018-10-10 14:24:00,12.9400
B001B0V5GG,2018-10-11 03:24:00,13.6700
B001B0V5GG,2018-10-11 18:28:00,0.0000
B001B0V5GG,2018-10-11 20:56:00,14.1800
B001B0V5GG,2018-10-12 15:28:00,14.8800
B001B0V5GG,2018-10-12 16:40:00,14.6000
B001B0V5GG,2018-10-12 20:56:00,13.3000
B001B0V5GG,2018-10-12 22:14:00,12.8800
B001B0V5GG,2018-10-13 04:54:00,12.3600
B001B0V5GG,2018-10-13 17:20:00,12.4000
B001B0V5GG,2018-10-15 12:04:00,12.8700
B001B0V5GG,2018-10-18 05:22:00,12.4300
B001B0V5GG,2018-10-18 08:24:00,12.9300
B001B0V5GG,2018-10-18 10:08:00,12.4300
B001B0V5GG,2018-10-18 20:56:00,13.3700
B001B0V5GG,2018-10-18 21:48:00,12.7500
B001B0V5GG,2018-10-18 22:36:00,12.6500
B001B0V5GG,2018-10-18 23:28:00,12.8500
B001B0V5GG,2018-10-19 00:18:00,13.1800
B001B0V5GG,2018-10-19 01:08:00,12.7500
B001B0V5GG,2018-10-19 02:48:00,12.8500
B001B0V5GG,2018-10-19 04:28:00,12.7500
B001B0V5GG,2018-10-19 11:04:00,12.8500
B001B0V5GG,2018-10-19 20:34:00,11.1900
B001B0V5GG,2018-10-19 21:26:00,12.8500
B001B0V5GG,2018-10-21 00:56:00,12.3400
B001B0V5GG,2018-10-22 12:48:00,12.3800
B001B0V5GG,2018-10-22 19:36:00,12.5700
B001B0V5GG,2018-10-23 04:50:00,13.3300
B001B0V5GG,2018-10-23 08:12:00,12.8500
B001B0V5GG,2018-10-23 13:14:00,12.8400
B001B0V5GG,2018-10-23 17:18:00,12.6500
B001B0V5GG,2018-10-23 22:02:00,14.6100
B001B0V5GG,2018-10-24 14:12:00,13.1800
B001B0V5GG,2018-10-25 00:56:00,13.7300
B001B0V5GG,2018-10-25 22:40:00,14.6100
B001B0V5GG,2018-10-26 05:20:00,12.8400
B001B0V5GG,2018-10-26 06:12:00,12.2300
B001B0V5GG,2018-10-26 07:52:00,11.7300
B001B0V5GG,2018-10-26 08:40:00,11.1700
B001B0V5GG,2018-10-26 10:48:00,10.9900
B001B0V5GG,2018-10-27 21:04:00,10.7400
B001B0V5GG,2018-10-28 02:24:00,11.1900
B001B0V5GG,2018-10-28 22:38:00,11.1100
B001B0V5GG,2018-10-29 14:50:00,11.1000
B001B0V5GG,2018-10-29 19:56:00,11.9900
B001B0V5GG,2018-10-29 22:48:00,11.9400
B001B0V5GG,2018-10-30 00:40:00,11.7600
B001B0V5GG,2018-10-30 09:08:00,11.9400
B001B0V5GG,2018-10-30 12:06:00,12.0600
B001B0V5GG,2018-10-30 13:26:00,13.7900
B001B0V5GG,2018-10-30 21:48:00,11.9900
B001B0V5GG,2018-10-31 03:46:00,13.7900
B001B0V5GG,2018-10-31 05:42:00,11.9900
B001B0V5GG,2018-10-31 13:56:00,11.9300
B001B0V5GG,2018-11-01 00:44:00,11.7000
B001B0V5GG,2018-11-01 15:34:00,10.9400
B001B0V5GG,2018-11-01 17:32:00,11.7900
B001B0V5GG,2018-11-01 21:58:00,11.8100
B001B0V5GG,2018-11-02 00:48:00,11.7900
B001B0V5GG,2018-11-02 01:38:00,11.8100
B001B0V5GG,2018-11-02 02:28:00,11.8000
B001B0V5GG,2018-11-02 05:44:00,11.8100
B001B0V5GG,2018-11-02 09:04:00,11.6900
B001B0V5GG,2018-11-02 09:56:00,13.4200
B001B0V5GG,2018-11-04 22:54:00,13.7900
B001B0V5GG,2018-11-05 00:08:00,13.4200
B001B0V5GG,2018-11-05 01:24:00,13.7900
B001B0V5GG,2018-11-05 08:16:00,12.9300
B001B0V5GG,2018-11-05 09:28:00,12.8700
